,id,time (delta),RSSI (dBm)
15807,7171,89:,-66
15814,7171,89:,-66
15815,0,14:,-77
15816,7171,89:,-66
15823,7171,89:,-66
15824,0,14:,-77
15825,7171,89:,-66
15832,7171,89:,-66
15833,0,14:,-77
15834,7171,89:,-66
15841,7171,89:,-66
15842,0,14:,-77
15843,7171,89:,-66
15850,7171,89:,-66
15851,0,14:,-77
15852,7171,89:,-66
15859,7171,89:,-66
15860,0,14:,-77
15861,7171,89:,-66
15868,7171,89:,-66
15869,0,14:,-77
15870,7171,89:,-66
15877,7171,89:,-66
15878,0,14:,-77
15879,7171,89:,-66
15886,7171,89:,-66
15887,0,14:,-77
15888,7171,89:,-66
15895,7171,90:,-66
15896,0,15:,-77
15897,7171,90:,-66
15904,7171,90:,-66
15905,0,15:,-77
15906,7171,90:,-66
15913,7171,90:,-66
15914,0,15:,-77
15915,7171,90:,-66
15922,7171,90:,-66
15923,0,15:,-77
15924,7171,90:,-66
15931,7171,90:,-66
15932,0,15:,-77
15933,7171,90:,-66
15940,7171,90:,-66
15941,0,15:,-77
15942,7171,90:,-66
15949,7171,90:,-66
15950,0,15:,-77
15951,7171,90:,-66
15958,7171,90:,-66
15959,0,15:,-77
15960,7171,90:,-66
15967,7171,90:,-66
15968,0,15:,-77
15969,7171,90:,-66
15976,7171,90:,-66
15977,0,15:,-77
15978,7171,90:,-66
15985,7171,91:,-66
15986,0,16:,-77
15987,7171,91:,-66
15994,7171,91:,-66
15995,0,16:,-77
15996,7171,91:,-66
16003,7171,91:,-66
16004,0,16:,-77
16005,7171,91:,-66
16012,7171,91:,-66
16013,0,16:,-77
16014,7171,91:,-66
16021,7171,91:,-66
16022,0,16:,-77
16023,7171,91:,-66
16030,7171,91:,-66
16031,0,16:,-77
16032,7171,91:,-66
16039,7171,91:,-66
16040,0,16:,-77
16041,7171,91:,-66
16048,7171,91:,-66
16049,0,16:,-77
16050,7171,91:,-66
16057,7171,91:,-66
16058,0,16:,-77
16059,7171,91:,-66
16066,7171,91:,-66
16067,0,16:,-77
16068,7171,91:,-66
16075,7171,92:,-67
16076,0,17:,-77
16077,7171,92:,-67
16084,7171,92:,-67
16085,0,17:,-77
16086,7171,92:,-67
16093,7171,92:,-67
16094,0,17:,-77
16095,7171,92:,-67
16102,7171,92:,-67
16103,0,17:,-77
16104,7171,92:,-67
16112,0,17:,-77
16113,0,17:,-77
16114,0,17:,-77
16121,0,17:,-77
16122,0,17:,-77
16123,0,17:,-77
16130,0,17:,-77
16131,0,17:,-77
